Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
Africa,Mauritania,None,2020-05-19,0.859549108,0.258300059,-7.490848371,0,1,0.22867446,14.26338952,0.932406013,1.194374134,3.05053634,9.911977349,5.178813177
Africa,Mauritius,None,2020-03-28,3.739453121,3.329828404,-368.363471,29.40312874,1,0.029088688,2.697334785,2.279040086,0.470298226,3.389938065,171.6733894,6.453233112
North America,Mexico,None,2020-03-19,0.383968158,1.033636562,-74.98118593,0.170919838,0.554832535,0.153681364,0.096407094,6.123168536,2.255361248,0.113920325,203.1724155,25.51351471
Europe,Moldova,None,2020-03-23,0.918844117,0.390588858,-30.08017731,6.02E-05,0.167062389,0.054102856,0.288209611,4.748131705,3.746657038,1.021110072,175.4959075,1.61027664
Europe,Monaco,None,2020-06-22,52.18210315,0.470615499,-3.753885663,4.16E-17,0.02,0,0,0.021702896,1.66E-07,0.022466697,1.152278483,2.331486797
Asia,Mongolia,None,2020-05-16,,2.360093556,-5.131108238,4.653589615,0.292734122,1.06E-05,1.02E-07,0.111744118,0.005562002,1.538625294,53.0847703,1.775706154
Europe,Montenegro,None,2020-03-31,3.768163043,2.541920164,-32.30248416,0.508531883,0.056544971,0.061691137,0.423724104,0.000280992,1.83E-05,0.117766033,172.8930915,11.04047351
Africa,Morocco,None,2020-03-22,0.675446558,0.404229899,-14.25469304,0,0.935106965,0.021555806,0.078062306,2.96E-05,5.141800187,3.390835286,126.5170106,1.336406504
Africa,Mozambique,None,2020-05-11,0.694933381,0.557880745,19.49347806,0.103413699,1,0.004602344,0.166353246,0.167212342,0.003278942,0,44.2605526,1.026312759
Africa,Namibia,None,2020-06-25,1.39587095,1.07194995,-0.18428256,0.627008362,0.433566034,0.01081697,0.117825768,0.631400199,5.05E-07,5.70E-07,1.391309771,1.123019528
Asia,Nepal,None,2020-05-07,2.33348842,0.480067333,-450.3393071,0.005276319,1,0.00578779,0,0.416702587,1.976950214,3.276203891,0.04802145,1.013554105
Europe,Netherlands,None,2020-03-06,9.237363977,2.475203235,0.188312273,2.826559946,0.030963625,0.49177758,2.000232417,3.927123942,1.37E-06,0.215377699,200.9652813,65.65021395
Oceania,New Zealand,None,2020-03-22,2.45348535,29.69349166,-0.034677749,337.7100548,0.083497999,0.014908913,0.515313351,7.369568306,0.002560468,1.243656583,145.5711979,2.312315214
North America,Nicaragua,None,2020-05-19,0.634176351,0.316885576,0.225527557,0.016495509,0.228748707,0.033956228,0.222583946,3.20022908,0.737104971,0.514041027,36.8558775,1.932058846
Africa,Niger,None,2020-04-03,0.889519036,0.25673251,17.02510508,0,0.07390488,0.105250221,1.368706256,0.936259727,2.054577346,2.040214941,107.4282911,2.278649487
Africa,Nigeria,None,2020-03-29,1.129605617,0.851846299,-67.59586196,0.167381343,1,0.092306255,1.524768707,2.178518918,0.951156872,0.652061464,49.63435528,1.208341637
Europe,North Macedonia,None,2020-03-22,4.946056303,0.401249185,-4.241823613,0,0.023964548,0.288185273,0.88356716,0.393206537,1.291336725,0.436629162,7.181100222,1.001309203
Europe,Norway,None,2020-03-06,7.559445845,6.528041151,-37.33668281,12.01780858,0.032183172,0.06020012,2.415506971,29.0525165,2.308533857,0.06816922,182.5878429,87.96434701
Asia,Oman,None,2020-03-26,4.228973989,0.453109794,-0.397339182,0.051617502,0.02,0.012858428,0,7.081318645,6.445905718,0,98.17734127,1.000032046
Asia,Pakistan,None,2020-03-16,3.705838994,0.635553895,-1.909909602,0.209806986,0.373643177,0.028351379,0.161166438,2.368361358,4.197480216,0.832951807,63.22355468,3.275138049
North America,Panama,None,2020-03-19,0.791801265,0.370239233,-1.481234807,0,0.208895007,0.031950785,0.163784192,11.44206024,2.098011633,0.509703764,74.90223459,12.0431035
Oceania,Papua New Guinea,None,2020-08-02,1.349678803,0.23348543,-2.843654636,0,0.112643116,0.007995866,3.341519229,0.703176628,0.954253086,0.000230911,1.837908109,2.060778639
South America,Paraguay,None,2020-04-05,1.278965703,0.613877174,-67.99383871,0.065008582,1,0.021817301,0,0.127593393,0.230832159,1.186010002,128.3521447,3.481259033
South America,Peru,None,2020-03-17,1.564929031,1.28403272,-1.381443546,0.925296342,1,0.05666436,0.103370634,5.414122485,0.95845016,0.224667693,142.9313493,58.6854251
Asia,Philippines,None,2020-03-14,1.624024914,0.528330134,0.394614696,0.080956491,0.020322578,1,5.531067968,3.266128015,2.503008919,0.274458206,123.0515532,13.02742512
Europe,Poland,None,2020-03-14,1.374601677,0.375554177,-94.81230267,0.011091585,0.104691342,0.069685484,0.365381121,34.49903309,0.24444918,0.89464621,215.4659286,30.69343692
Europe,Portugal,None,2020-03-13,1.124429163,0.321371958,-0.153899903,0,0.073564249,0.155404377,2.459396577,51.83049605,0.804589256,1.065147884,260.6722484,61.00328605
Asia,Qatar,None,2020-03-11,0.352823964,1.43273532,-0.149860339,0.581623342,0.040780984,0.001701859,0.004771231,0.107094905,0.005127027,0.238757371,187.3263703,31.23770325
Europe,Romania,None,2020-03-14,0.350968159,0.438904822,0.841354251,0.02956872,0.050268282,0.175418017,0.495551361,5.810675826,0.851826289,1.26047845,301.2063566,54.99916367
Asia,Russia,None,2020-03-17,1.807924728,0.86458509,0.166049592,0.465288939,0.049286564,0.020069857,0,34.77561454,0.75895436,0.45647776,243.2896215,82.4864361
Africa,Rwanda,None,2020-04-04,0.752798113,2.720838782,-20.94657931,0.923764655,0.03945007,1.46E-08,0.461033204,0.005376984,0.001259637,0.914448851,125.6746124,1.663707572
Europe,San Marino,None,2020-03-15,2.375550423,0.549213975,1.134164063,0.555123975,0.129788065,0.272772539,13.5775018,0.307360992,0.52276014,1.599621774,243.4748022,67.23166045
Africa,Sao Tome and Principe,None,2020-05-05,3.237202352,2.3787099,-0.023995812,4.810053746,1,0.019371662,1.878044955,0.23589441,1.14E-05,1.483315518,71.61666756,1.991991005
Asia,Saudi Arabia,None,2020-03-14,1.449414986,0.629967858,-1.638333781,0.16290538,0.02,0.023993295,0.187937453,7.16530444,1.02260169,1.086940269,2.63991223,1.543884361
Africa,Senegal,None,2020-03-26,0.394177243,1.045488812,-70.62057244,0.220081946,0.179066861,0.020980686,0,0.200098777,0.562988559,0.435620121,124.2894703,1.979013365
Europe,Serbia,None,2020-03-19,6.990520465,0.350651691,0.423128407,0,1,0.039329973,0.375240978,13.52210819,0.407762917,0.911709056,93.73337427,2.213072712
Africa,Seychelles,None,2020-07-16,,1.376398313,-12.20283456,0.985245824,0.540809886,0,0.004539341,0,0.002369159,0.826744212,2.324654639,2.281014059
Africa,Sierra Leone,None,2020-04-28,0.273220619,0.430046544,-63.66906852,0.088632722,0.183776078,0.126007211,2.987191293,3.151748459,0.00175297,0.498059263,131.5643979,11.25467785
Asia,Singapore,None,2020-02-29,1.166568816,11.33556603,-0.110681397,6.442841808,1,0.000494051,0,0.00534734,0,0.566554741,137.5954627,1.091528436
Europe,Slovakia,None,2020-03-18,3.336690201,65.71463726,0.771967042,86.64317203,0.03240923,0.005846412,1.842980717,0.004659915,1.85E-05,0.008849964,183.3250989,59.99363489
Europe,Slovenia,None,2020-03-13,7.287778332,0.899955893,-2.030574895,1.383208831,0.067767611,0.172343477,1.663177092,0.683191741,2.40E-07,0.856366579,293.3038324,128.1319341
Africa,Somalia,None,2020-04-17,1.841258227,0.293327286,-120.2639909,3.79E-06,0.328836253,0.057061895,1.579378045,1.455018385,5.621826104,1.728,149.6858435,3.46882269
Africa,South Africa,None,2020-03-18,2.061457399,1.741866667,-370.4888563,0.162394631,0.034247192,0.062986857,0.283510311,8.328314533,17.25620087,0.236147258,79.221201,18.56254068
Africa,South Sudan,None,2020-05-08,1.530272427,2.42004394,-3.524695338,3.930567028,0.175693538,0.019464791,0,1.252981598,0.053580687,0.14027315,128.3117871,41.25920636
Europe,Spain,None,2020-03-02,5.120899989,2.207743653,7.342305017,8.292591725,0.041329505,1,5.863685765,2.902918188,2.051822099,0.227653046,166.4947649,70.14676113
Asia,Sri Lanka,None,2020-03-24,5.770509871,0.314738558,-6.358220915,0,0.041611961,0.003981808,0,0.215431214,3.232254043,1.942333418,192.6753166,12.62620802
Africa,Sudan,None,2020-04-20,0.739563223,1.221837325,-8.631071292,0.906001082,0.109029077,0.10354869,0.337859367,7.58437142,0.77053223,0.170273839,106.7213803,18.2302373
South America,Suriname,None,2020-06-07,1.204742566,0.986624761,-10.72947211,0.479382086,0.05071122,0.067993251,1.137623873,0.367988956,0.005378683,0.510942327,41.6694191,1.31629788
