Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay,Internal Parameter 3
North America,US,Missouri,2020-10-01,3.51939980180068,1.5,-74.92247262935565,1.0,0.02129792987962458,0.030301591065933,0.2915314869252932,0.001,0.08137053883895404,0.6702609611404546,-152.57809480405882,100.0,2.0
North America,US,Montana,2020-10-01,1.0911807852226878,0.12555280670753854,99.99997247571758,2.2068878455400944,0.02085399715579282,0.07074736730375517,1.807875605372084,4.666717063784358,0.015129566884126616,1.9969358317766834,21.686173980791,49.605525102484314,0.30013212495732433
North America,US,Nebraska,2020-10-01,1.4225225425392702,1.499942888052529,-81.78837306406474,3.3279402205210307,0.07140139341303287,0.01,-0.08912336469768732,0.3431912441633976,1.699403504173149,0.4120671141151468,-2.7125831850403896,66.96190422598097,0.21172253183544595
North America,US,Nevada,2020-10-01,0.6561384460463959,0.3285852960957908,-15.695867348681759,5.596119862440883,0.06609861310560611,0.010346170238650232,-0.1959043759804007,3.0489801278112703,0.511362362511871,1.713758283935301,36.90911878883861,63.81858872960654,0.23551979247098437
North America,US,Ohio,2020-10-01,1.7328733628584903,1.4996050517739887,-199.53969376046308,13.887454384574937,0.028381167470328303,0.05689904266826829,1.1701503206139099,0.18704825578345127,0.01125009239137602,1.104755379793617,-116.45949407397325,100.0,0.6435036871579374
North America,US,Oklahoma,2020-10-01,4.4590877162283595,1.5,-155.2834518976055,1.0,0.02,0.20683378835496538,4.780631735079339,0.17425084441905506,0.02352462726295152,0.9892815268690595,-106.1188749277444,100.0,0.2
North America,US,Oregon,2020-10-01,1.9876036569406743,0.14961939863841925,76.79489118163781,1.0,0.20758187021449043,0.01,-0.12957985406321818,0.04139164122894066,0.050818072027193635,4.999892023038785,-180.57450335534048,100.0,1.9702567182593875
North America,US,Pennsylvania,2020-10-01,0.6266731382664128,0.971593425385893,-182.94539131958527,5.040919994772788,0.08120779911729868,0.015483106043210957,-0.2,0.11140242258948088,0.6802389969981955,0.5978790493129497,29.006993985081525,54.261972874258426,0.6870789374824691
North America,US,Tennessee,2020-10-01,0.5655840327208524,0.33336372883366083,-125.72777320981236,10.910192903834336,0.046812040359214525,0.023470049544847837,0.25116110971469113,0.0010872950776447954,1.9615480306875415,1.8765117767881923,56.87596688770724,57.64885119630901,0.5229868614491913
North America,US,Texas,2020-10-01,0.44356573396998167,1.098515778973579,-0.553719916275611,1.4221995967258192,0.05561722007335757,0.016974773694501944,0.11431994086911872,0.001,0.12993644561870693,0.3835785051523852,89.46734010371337,48.1559959503326,1.0722481290504258
North America,US,Utah,2020-10-01,0.9447871860110237,0.4987003286559123,1.3979645442191049,4.300878485748574,0.028700921042709042,0.01,0.382991077488175,1.876032284785374,0.5066539748282272,1.0016476140338375,68.05364757537937,99.99999273545598,0.22329475700201798
North America,US,Vermont,2020-10-01,2.058908862418677,1.495921174517074,14.54773629648429,1.074216532364963,0.02292576411385049,0.025332511168699775,-0.19991752460075263,0.043903169342105225,0.00789300209975935,1.231941901558511,105.34706761783252,9.14202367672049,0.20020385975572694
North America,US,Virginia,2020-10-01,0.40122531003135636,0.13843340047297223,-115.2502002194968,1.1949178161213643,0.11021726947948295,0.011281009586217085,0.08088300848273014,0.17009610685087267,0.5331279139120862,3.5944071259170625,53.62571452277208,91.62672973285572,1.0790110943968414
North America,US,Washington,2020-10-01,2.339903599331695,0.20444979580509892,-8.559596014223303,9.067122190160669,0.02,0.016665799346139144,0.039581474764725344,4.918913331118778,0.14066210474620716,2.3007527467698656,19.09539440911302,89.19191223818456,0.2
North America,US,Wisconsin,2020-10-01,0.9452908985927937,1.0582106390910113,-138.31780395430303,12.28057554162327,0.05493402674905375,0.01,-0.054851711620482024,1.8664886530303533,0.001256231521613194,0.48776585586677396,36.79904280417577,53.604109311934856,0.7210973961002933
North America,US,Wyoming,2020-10-01,2.332482480419226,0.25731492630772784,-0.971392954379229,6.781604486091077,0.02,0.01962627699262026,0.0973064475749843,1.9046249605795273,0.09650003540151245,2.367195002420542,-17.752818801241236,84.76890446549919,0.48810738144862775
